sub_id,ses_id
sub-A00037635,ses-BAS1
sub-A00037646,ses-BAS1
sub-A00037647,ses-BAS1
sub-A00037725,ses-BAS1
sub-A00037726,ses-BAS1
sub-A00037767,ses-BAS1
sub-A00037768,ses-BAS1
sub-A00037783,ses-BAS1
sub-A00037784,ses-BAS1
sub-A00037817,ses-BAS1
sub-A00037817,ses-BAS2
sub-A00037817,ses-FLU1
sub-A00037818,ses-BAS1
sub-A00037831,ses-BAS1
sub-A00037848,ses-BAS1
sub-A00037848,ses-BAS2
sub-A00037866,ses-BAS1
sub-A00037877,ses-BAS1
sub-A00038115,ses-BAS1
sub-A00038158,ses-BAS1
sub-A00038159,ses-BAS1
sub-A00038189,ses-BAS1
sub-A00038285,ses-BAS1
sub-A00038411,ses-BAS1
sub-A00038414,ses-BAS1
sub-A00038414,ses-BAS2
sub-A00038414,ses-FLU1
sub-A00038424,ses-BAS1
sub-A00038424,ses-BAS2
sub-A00038519,ses-BAS1
sub-A00038520,ses-BAS1
sub-A00038522,ses-BAS1
sub-A00038603,ses-BAS1
sub-A00038605,ses-BAS1
sub-A00038616,ses-BAS1
sub-A00038623,ses-BAS1
sub-A00038623,ses-BAS2
sub-A00038623,ses-FLU1
sub-A00038623,ses-FLU2
sub-A00038642,ses-BAS1
sub-A00038642,ses-BAS2
sub-A00038706,ses-BAS1
sub-A00038718,ses-BAS1
sub-A00038731,ses-BAS1
sub-A00038805,ses-BAS1
sub-A00038806,ses-BAS1
sub-A00038806,ses-BAS2
sub-A00038806,ses-FLU1
sub-A00038806,ses-FLU2
sub-A00038817,ses-BAS1
sub-A00038831,ses-BAS1
sub-A00038832,ses-BAS1
sub-A00038957,ses-BAS1
sub-A00038959,ses-BAS1
sub-A00038998,ses-BAS1
sub-A00038998,ses-BAS2
sub-A00039040,ses-BAS1
sub-A00039041,ses-BAS1
sub-A00039074,ses-BAS1
sub-A00039075,ses-BAS1
sub-A00039083,ses-BAS1
sub-A00039084,ses-BAS1
sub-A00039118,ses-BAS1
sub-A00039143,ses-BAS1
sub-A00039159,ses-BAS1
sub-A00039168,ses-BAS1
sub-A00039218,ses-BAS1
sub-A00039249,ses-BAS1
sub-A00039257,ses-BAS1
sub-A00039276,ses-BAS1
sub-A00039277,ses-BAS2
sub-A00039331,ses-BAS1
sub-A00039353,ses-BAS1
sub-A00039353,ses-BAS2
sub-A00039353,ses-FLU2
sub-A00039391,ses-BAS1
sub-A00039391,ses-BAS2
sub-A00039391,ses-FLU1
sub-A00039391,ses-FLU2
sub-A00039393,ses-BAS1
sub-A00039431,ses-BAS1
sub-A00039432,ses-BAS1
sub-A00039461,ses-BAS1
sub-A00039463,ses-BAS1
sub-A00039488,ses-BAS1
sub-A00039488,ses-BAS2
sub-A00039490,ses-BAS1
sub-A00039500,ses-BAS1
sub-A00039559,ses-BAS1
sub-A00039560,ses-BAS1
sub-A00039560,ses-BAS2
sub-A00039560,ses-FLU1
sub-A00039560,ses-FLU2
sub-A00039593,ses-BAS1
sub-A00039593,ses-BAS2
sub-A00039593,ses-FLU1
sub-A00039593,ses-FLU2
sub-A00039607,ses-BAS1
sub-A00039635,ses-BAS1
sub-A00039636,ses-BAS1
sub-A00039639,ses-BAS1
sub-A00039640,ses-BAS1
sub-A00039655,ses-BAS1
sub-A00039657,ses-BAS1
sub-A00039669,ses-BAS1
sub-A00039685,ses-BAS1
sub-A00039685,ses-BAS2
sub-A00039686,ses-BAS1
sub-A00039699,ses-BAS1
sub-A00039700,ses-BAS1
sub-A00039755,ses-BAS1
sub-A00039756,ses-BAS1
sub-A00039758,ses-BAS1
sub-A00039758,ses-BAS2
sub-A00039758,ses-FLU1
sub-A00039783,ses-BAS1
sub-A00039819,ses-BAS1
sub-A00039820,ses-BAS1
sub-A00039820,ses-BAS2
sub-A00039820,ses-FLU1
sub-A00039820,ses-FLU2
sub-A00039845,ses-BAS1
sub-A00039846,ses-BAS1
sub-A00039846,ses-BAS2
sub-A00039846,ses-FLU1
sub-A00039866,ses-BAS1
sub-A00039895,ses-BAS1
sub-A00039916,ses-BAS1
sub-A00039923,ses-BAS1
sub-A00039943,ses-BAS1
sub-A00039943,ses-FLU1
sub-A00039943,ses-FLU2
sub-A00039943,ses-TRT
sub-A00039951,ses-BAS1
sub-A00039951,ses-BAS2
sub-A00039951,ses-FLU1
sub-A00039951,ses-FLU2
sub-A00039952,ses-BAS1
sub-A00039965,ses-BAS1
sub-A00039966,ses-BAS1
sub-A00039974,ses-BAS1
sub-A00039975,ses-BAS1
sub-A00039975,ses-BAS2
sub-A00039975,ses-FLU1
sub-A00039988,ses-BAS1
sub-A00040054,ses-BAS1
sub-A00040055,ses-BAS1
sub-A00040091,ses-BAS1
sub-A00040104,ses-BAS1
sub-A00040116,ses-BAS1
sub-A00040117,ses-BAS1
sub-A00040117,ses-FLU1
sub-A00040117,ses-FLU2
sub-A00040117,ses-TRT
sub-A00040151,ses-BAS1
sub-A00040152,ses-BAS1
sub-A00040174,ses-BAS1
sub-A00040181,ses-BAS1
sub-A00040182,ses-BAS1
sub-A00040193,ses-BAS1
sub-A00040225,ses-BAS1
sub-A00040225,ses-BAS2
sub-A00040226,ses-BAS1
sub-A00040248,ses-BAS1
sub-A00040257,ses-BAS1
sub-A00040285,ses-BAS1
sub-A00040285,ses-BAS2
sub-A00040285,ses-FLU1
sub-A00040285,ses-FLU2
sub-A00040286,ses-BAS1
sub-A00040286,ses-BAS2
sub-A00040286,ses-FLU1
sub-A00040286,ses-FLU2
sub-A00040301,ses-BAS1
sub-A00040311,ses-BAS1
sub-A00040311,ses-BAS2
sub-A00040311,ses-FLU1
sub-A00040312,ses-BAS1
sub-A00040312,ses-BAS2
sub-A00040324,ses-BAS1
sub-A00040342,ses-BAS1
sub-A00040343,ses-BAS1
sub-A00040351,ses-BAS1
sub-A00040382,ses-BAS1
sub-A00040383,ses-BAS1
sub-A00040383,ses-BAS2
sub-A00040439,ses-BAS1
sub-A00040440,ses-BAS1
sub-A00040461,ses-BAS1
sub-A00040462,ses-BAS1
sub-A00040493,ses-BAS1
sub-A00040494,ses-BAS1
sub-A00040500,ses-BAS1
sub-A00040517,ses-BAS1
sub-A00040524,ses-BAS1
sub-A00040525,ses-BAS1
sub-A00040543,ses-BAS1
sub-A00040556,ses-BAS1
sub-A00040556,ses-FLU1
sub-A00040556,ses-FLU2
sub-A00040556,ses-TRT
sub-A00040567,ses-BAS1
sub-A00040573,ses-BAS1
sub-A00040580,ses-BAS1
sub-A00040580,ses-BAS2
sub-A00040580,ses-FLU1
sub-A00040594,ses-BAS1
sub-A00040599,ses-BAS1
sub-A00040604,ses-BAS1
sub-A00040604,ses-BAS2
sub-A00040604,ses-FLU1
sub-A00040604,ses-FLU2
sub-A00040623,ses-BAS1
sub-A00040628,ses-BAS1
sub-A00040628,ses-BAS2
sub-A00040629,ses-BAS1
sub-A00040640,ses-BAS1
sub-A00040678,ses-BAS1
sub-A00040740,ses-BAS1
sub-A00040741,ses-BAS1
sub-A00040757,ses-BAS1
sub-A00040784,ses-BAS1
